oldid,genre_ids,id,popularity,title,revenue
2574,"[16, 10751, 14, 12]",12092,56.388,Alice in Wonderland,572000000
8558,"[18, 10749, 53]",216015,104.954,Fifty Shades of Grey,571006128
5753,"[28, 12, 14]",293167,61.745,Kong: Skull Island,566652812
8935,"[16, 10751, 12, 35, 14]",41513,39.585,The Smurfs,563749323
4083,"[12, 18, 28]",254,49.734,King Kong,562363449
7987,"[16, 10751, 12, 35]",49013,98.343,Cars 2,559852396
6199,"[28, 16, 12, 35, 10751]",417859,125.911,Puss in Boots,554987477
6044,"[35, 14, 10749]",381890,21.31,The Mermaid,553810228
4220,"[28, 53, 878, 12]",95,48.269,Armageddon,553799566
5842,"[28, 12, 878, 53]",435,27.144,The Day After Tomorrow,552639571
6362,"[35, 14]",72105,66.108,Ted,549368315
7666,"[12, 28, 53]",955,29.701,Mission: Impossible II,546388105
5712,"[28, 12, 878, 14]",246655,66.035,X-Men: Apocalypse,543934787
4308,"[10749, 14, 10751, 18]",150689,86.634,Cinderella,543514353
1590,"[10752, 28]",190859,70.99,American Sniper,542307423
3989,"[10751, 16, 12, 35]",953,70.271,Madagascar,542063846
3375,"[16, 12, 35, 10751, 28, 14]",62177,71.769,Brave,538983207
40,"[12, 28, 878]",1891,31.352,The Empire Strikes Back,538400000
2428,"[10751, 16, 35, 80]",20352,73.881,Despicable Me,533679475
1307,"[37, 18, 12]",281957,53.875,The Revenant,532950503
4331,"[28, 18, 27, 878, 53]",72190,91.133,World War Z,531865000
7200,"[28, 878, 27]",345940,91.004,The Meg,530243742
2430,"[10751, 16, 35, 12]",404368,64.263,Ralph Breaks the Internet,529221154
6936,"[28, 18, 878]",124905,53.95,Godzilla,529076069
3777,"[16, 35, 10751, 14]",400155,53.405,Hotel Transylvania 3: Summer Vacation,528600000
6004,"[16, 35, 10751]",295693,21.556,The Boss Baby,527965936
3440,"[16, 35, 10751]",35,67.548,The Simpsons Movie,527068851
1492,"[10752, 28, 18]",374720,36.339,Dunkirk,527000000
2551,"[28, 12, 80, 9648]",10528,38.396,Sherlock Holmes,524028679
240,"[16, 10751, 878]",10681,69.917,WALL·E,521311860
4056,"[28, 12, 16, 35, 10751]",140300,63.029,Kung Fu Panda 3,521170825
228,"[28, 53, 878]",280,73.946,Terminator 2: Judgment Day,520000000
3040,"[878, 28, 12]",102899,64.236,Ant-Man,519311965
695,"[16, 10751, 12]",166428,89.362,How to Train Your Dragon: The Hidden World,517526875
7112,"[35, 10749]",693,27.835,Meet the Fockers,516642939
4353,"[16, 10751, 35, 14]",360920,232.951,The Grinch,508575295
3783,"[878, 28, 12]",580489,239.837,Venom: Let There Be Carnage,506863592
2557,"[14, 18, 53, 9648, 10749]",251,40.509,Ghost,505000000
953,"[16, 10751, 12, 14, 10749]",812,59.447,Aladdin,504050219
73,"[16, 28, 12, 14]",635302,330.895,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,503063688
5879,"[12, 16, 35, 10751]",172385,62.397,Rio 2,500188435
2835,"[12, 36, 10752, 28]",652,47.104,Troy,497409852
1098,"[16, 35, 10751]",863,107.816,Toy Story 2,497366869
628,"[14, 12, 16, 10751]",10191,71.485,How to Train Your Dragon,494878759
6077,"[28, 12, 18]",664,28.341,Twister,494471524
8673,"[12, 14, 28]",18823,60.949,Clash of the Titans,493214993
